联系人,Unnamed: 1,"联系电话
（手机）",Unnamed: 3,Unnamed: 4,Unnamed: 5,"活动时
间",Unnamed: 7
75,湖北省大学生运动会,省级,C,,,,
76,中国机器人大赛RoboCup公开赛,省级,C,,,,
77,"全国机器人锦标赛及国际仿人机器人奥林
匹克大赛",省级,C,,,,
78,“长江钢琴杯”青少年钢琴大赛,省级,C,,,,
79,湖北省大学生金融知识竞赛,省级,C,,,,
80,湖北省大学生艺术节,省级,C,,,,
81,湖北省外语翻译大赛,省级,C,,,,
83,大学生时装模特邀请赛,省级,C,,,,
84,湖北省大学生文化创意大赛,省级,C,,,,
1,"国家级
（含国际级）","一等奖
（含特等奖）",5.0,"学生提供获奖证书
竞赛组织单位认定",,,
1,"大学生创新训练
计划",国家级,5.0,"学生提供结题证书创新
创业学院认定",,,
2,"实验室开放及实
验技改项目",校级,2.0,"学生提供结题证书实验
室与设备管理处认定",,,
3,参与教师课题,"有报告、
实物等成
果",2.0,"学生提供教师书面证明
材料
学院认定",,,
外语能力证书,托福英语考试,≥95,1.0,,,,
计算机能力证书,国家非计算机专业等级考试,二级,0.5,,,,
普通话等级证书,普通话等级考试,一级,1.0,,,,
从业资格证书,证券、期货从业资格证书,,1.0,,,,
1,创业竞赛,国家级,3.0,"凭获奖证书，由主办单
位进行认定",,,
2,"大学生创业训
练、创业实践
项目",国家级,3.0,创新创业学院,,,
4,创业活动,"参加创业沙
龙、讲座",0.25,"提交不少于800字的活
动心得总结，由主办单
位组织认定",,,
5,创业课程,"按学校要求
修完课程并","以教务
系统为",教务处,,,
6,"中国“互联网
+”大学生创
新创业大赛","依照大赛要
求，撰写创
业计划书并
完成网络申
报，通过学
院答辩",2.0,"授予每一个参赛团队中
排名前5的学生，由创
新创业学院组织认定",,,
1,社会实践,国家级,3.0,"参加社会实践活动每
达1周并提供社会实
践调查报告计0.5
分，未满一周不计学
分，时间从抵达实践
地之日起到离开实践
地之日止。
参加志愿服务活动累
计服务时长每56
个小时计0.5分，每
天按8个小时计算。","主办（组
织）单位",,
省级,A,5,4,3,2,,
"1
（思
想政
治表
现）",01001,获得全国大学生年度人物,20,,,,
"2
（道
德品
质修
养）",02001,"不讲社会公德、故意损坏公物或破坏环境的
行为（每次）",-1.5,,,,
"3
（身
心健
康素
质）",03001,"无故不参加学校、学院组织的心理健康教育
活动的行为（每次）",-2,,,,
"4
（组
织纪
律观
念）",04001,因各种原因受到学校留校查看处分的学生,-15,,,,
"5
（宿
舍行
为表
现）",05001,"获得学校“优秀宿舍”称号的所有宿舍成员
（每学期）",5,,,,
"6
（资
格证
书测
评）",06001,"通过国家英语（或专业英语、小语种）六级
的学生",8,,,,
"7
（专
业类
荣誉
测
评）",07001,"获得专业类国家级荣誉的学生
（个人，A级，特等奖）",20,,,,
,07004,"获得专业类国家级荣誉的学生
（个人，A级，三等奖）",15,,,,
,07021,"获得专业类国家级荣誉的学生
（团体，A级，特等奖，其他成员）",10,,,,
,07038,"获得专业类国家级荣誉的学生
（团体，B级，二等奖，第二名成员）",14.4,,,,
,07055,"获得专业类国家级荣誉的学生
（个人，C级，优秀奖）",6.5,,,,
,07072,"获得专业类国家级荣誉的学生
（团体，C级，一等奖，其他成员）",8.5,,,,
,07089,"获得专业类国家级荣誉的学生
（团体，D级，三等奖，第二名成员）",10.8,,,,
,07106,"获得专业类省部级荣誉的学生
（团体，A级，特等奖，第一名成员）",16,,,,
,07124,"获得专业类省部级荣誉的学生
（团体，A级，三等奖，其他成员）",5.5,,,,
,07142,"获得专业类省部级荣誉的学生
（团体，B级，一等奖，第三名成员）",11.2,,,,
,07160,"获得专业类省部级荣誉的学生
（团体，C级，优秀奖，第一名成员）",4.5,,,,
,07178,"获得专业类学校级荣誉的学生
（个人，二等奖）",8,,,,
,07196,"获得专业类学校级荣誉的学生
（团体，特等奖，其他成员）",5.5,,,,
,07214,"获得专业类学院级荣誉的学生
（团体，三等奖，第二名成员）",2.7,,,,
,07232,"在E类刊物公开发表与本学科相关学术论文
（第一作者）",18,,,,
"8
（特
长类
荣誉
测
评）",08001,"获得特长类国家级荣誉的学生
（个人，A级，特等奖）",20,,,,
,08019,"获得特长类国家级荣誉的学生
（团体，A级，三等奖，第三名成员）",12,,,,
,08037,"获得特长类国家级荣誉的学生
（团体，B级，一等奖，第二名成员）",16.2,,,,
,08055,"获得特长类国家级荣誉的学生
（个人，C级，优秀奖）",6.5,,,,
,08073,"获得特长类国家级荣誉的学生
（团体，C级，二等奖，其他成员）",7.5,,,,
,08091,"获得特长类国家级荣誉的学生
（团体，D级，特等奖，第三名成员）",13.6,,,,
,08109,"获得特长类省部级荣誉的学生
（团体，A级，三等奖，第一名成员）",11,,,,
,08127,"获得特长类省部级荣誉的学生
（个人，B级，一等奖）",14,,,,
,08145,"获得特长类省部级荣誉的学生
（团体，B级，优秀奖，第三名成员）",4,,,,
,08163,"获得特长类省部级荣誉的学生
（团体，C级，二等奖，第二名成员）",9.9,,,,
,08181,"获得特长类学校级荣誉的学生
（团体，特等奖，第一名成员）",11,,,,
,08199,"获得特长类学校级荣誉的学生
（团体，三等奖，其他成员）",3,,,,
,08217,"获得特长类学院级荣誉的学生
（团体，一等奖，第三名成员）",5.6,,,,
"9
（学
生服
务测
评）",09001,"担任学生党支部书记、副书记，考核优秀的
学生",15,,,,
,,学生,,,,,
,09031,"担任班级班委（不含班长、团支部书记），
考核优秀的学生",5.5,,,,
"10
（参
与活
动测
评）",10001,获得国家级社会实践、志愿服务先进个人,18,,,,
,,（第三名成员）,,,,,
目 录,,,,,,,
第一部分 文件摘编,,,,,,,
1.中华人民共和国高等教育法 ..................................................................1,,,,,,,
第一章 总则 ......................................................................................... 1,,,,,,,
第二章 高等教育基本制度 ................................................................. 3,,,,,,,
第三章 高等学校的设立 ..................................................................... 5,,,,,,,
第四章 高等学校的组织和活动 ......................................................... 6,,,,,,,
第五章 高等学校教师和其他教育工作者 ......................................... 9,,,,,,,
第六章 高等学校的学生 ................................................................... 11,,,,,,,
第七章 高等教育投入和条件保障 ................................................... 12,,,,,,,
第八章 附则 ....................................................................................... 13,,,,,,,
2.普通高等学校学生管理规定 ................................................................14,,,,,,,
第一章 总则 ....................................................................................... 14,,,,,,,
第二章 学生的权利与义务 ............................................................... 15,,,,,,,
第三章 学籍管理 ............................................................................... 16,,,,,,,
第四章 校园秩序与课外活动 ........................................................... 24,,,,,,,
第五章 奖励与处分 ........................................................................... 25,,,,,,,
第六章 学生申诉 ............................................................................... 28,,,,,,,
第七章 附则 ....................................................................................... 30,,,,,,,
3.高等学校学生行为准则 ........................................................................ 32,,,,,,,
4.教育部等五部门关于完善安全事故处理机制维护学校教育教学秩,,,,,,,
序的意见 .....................................................................................................34,,,,,,,
5.人口计生委教育部公安部关于高等学校在校学生计划生育问题的,,,,,,,
意见 ............................................................................................................. 41,,,,,,,
第二部分 日常管理,,,,,,,
6.中南民族大学学生管理规定 ................................................................45,,,,,,,
第一章 总则 ....................................................................................... 45,,,,,,,
第二章 学生的权利与义务 ............................................................... 46,,,,,,,
第三章 学籍管理 ............................................................................... 47,,,,,,,
第四章 校园秩序与课外活动 ........................................................... 57,,,,,,,
第五章 奖励与处分 ........................................................................... 59,,,,,,,
第六章 学生申诉 ............................................................................... 61,,,,,,,
第七章 附则 ....................................................................................... 63,,,,,,,
7.中南民族大学学生违纪处理办法 ....................................................... 64,,,,,,,
第一章 总则 ....................................................................................... 64,,,,,,,
第二章 处分的种类、期限和解除 ................................................... 64,,,,,,,
第三章 处分的减轻、加重和免于 ................................................... 65,,,,,,,
第四章 违纪行为及处分 ................................................................... 66,,,,,,,
第五章 处理程序 ............................................................................... 72,,,,,,,
第六章 要件的送达 ........................................................................... 74,,,,,,,
第七章 附则 ....................................................................................... 75,,,,,,,
8.中南民族大学学生申诉处理办法 ....................................................... 76,,,,,,,
第一章 总则 ....................................................................................... 76,,,,,,,
第二章 组织机构 ............................................................................... 76,,,,,,,
第三章 处理程序 ............................................................................... 77,,,,,,,
第四章 附则 ....................................................................................... 80,,,,,,,
9.中南民族大学本、预科学生纪律处分解除办法 ............................. 81,,,,,,,
10.中南民族大学学生伤害事故处理办法 .............................................84,,,,,,,
第一章 总则 ....................................................................................... 84,,,,,,,
第二章 事故与责任 ........................................................................... 85,,,,,,,
2,,,,,,,
第三章 事故处理程序 ....................................................................... 87,,,,,,,
第四章 事故损害的赔偿 ................................................................... 88,,,,,,,
第五章 事故责任者的处理 ............................................................... 89,,,,,,,
第六章 附则 ....................................................................................... 90,,,,,,,
11.中南民族大学集体户籍管理暂行规定 .............................................91,,,,,,,
第一章 总 则 ....................................................................................... 91,,,,,,,
第二章 入 户 ....................................................................................... 91,,,,,,,
第三章 户口迁出和注销 .................................................................... 92,,,,,,,
第四章 其 它 ....................................................................................... 92,,,,,,,
第五章 附 则 ....................................................................................... 93,,,,,,,
12.中南民族大学校园秩序管理规定 ..................................................... 94,,,,,,,
第一章 总 则 ....................................................................................... 94,,,,,,,
第二章 校园交通秩序管理 ................................................................ 95,,,,,,,
第三章 外来人员管理 ...................................................................... 100,,,,,,,
第四章 校内人员管理 ...................................................................... 102,,,,,,,
第五章 外籍人员安全管理 .............................................................. 103,,,,,,,
第六章 商业网点和违章搭建管理 .................................................. 104,,,,,,,
第七章 集会、讲座等大型活动管理 .............................................. 104,,,,,,,
第八章 中南民族大学电动自行车管理规定 .................................. 105,,,,,,,
第九章 其 他 ..................................................................................... 110,,,,,,,
第十章 附 则 ..................................................................................... 111,,,,,,,
13.中南民族大学学生学费和住宿费管理办法 .................................. 113,,,,,,,
第一章 总则 ..................................................................................... 113,,,,,,,
第二章 管理机构和人员 ................................................................. 113,,,,,,,
第三章 学年制收费 ......................................................................... 114,,,,,,,
第四章 学分制收费 ......................................................................... 114,,,,,,,
第五章 奖惩与责任 ......................................................................... 116,,,,,,,
第六章 其他 ..................................................................................... 116,,,,,,,
14.中南民族大学学生宿舍管理规定 ................................................... 118,,,,,,,
15.中南民族大学消防安全管理规定 ................................................... 122,,,,,,,
第一章 总则 ..................................................................................... 122,,,,,,,
第二章 消防安全责任 ..................................................................... 122,,,,,,,
第三章 消防安全管理 ..................................................................... 126,,,,,,,
第四章 消防安全检查和整改 ......................................................... 129,,,,,,,
第五章 消防安全教育和培训 ......................................................... 131,,,,,,,
第六章 灭火、应急疏散预案和演练 ............................................. 132,,,,,,,
第七章 消防经费 ............................................................................. 132,,,,,,,
第八章 表彰奖励 ............................................................................. 132,,,,,,,
第九章 责任追究 ............................................................................. 133,,,,,,,
第十章 附则 ..................................................................................... 133,,,,,,,
16.中南民族大学校园网上网管理办法(2017 年修订) ..................... 134,,,,,,,
第一章 总则 ..................................................................................... 134,,,,,,,
第二章 组织管理体系与工作职责 ................................................. 135,,,,,,,
第三章 入网管理 ............................................................................. 135,,,,,,,
第四章 运行管理 ............................................................................. 136,,,,,,,
第五章 违规处理 ............................................................................. 137,,,,,,,
第六章 附则 ..................................................................................... 138,,,,,,,
17.中南民族大学学生档案管理实施细则 ...........................................139,,,,,,,
第一章 总则 ..................................................................................... 139,,,,,,,
第二章 岗位职责 ............................................................................. 139,,,,,,,
第三章 归档范围 ............................................................................. 140,,,,,,,
第四章 工作要求 ............................................................................. 141,,,,,,,
第五章 档案的利用 ......................................................................... 142,,,,,,,
第六章 档案转递 ............................................................................. 143,,,,,,,
第七章 附则 ..................................................................................... 143,,,,,,,
18.关于印发《中南民族大学学生社团建设管理办法》 的通知 ... 144,,,,,,,
第一章 总则 ..................................................................................... 144,,,,,,,
第二章 管理机制 ............................................................................. 144,,,,,,,
第三章 指导教师 ............................................................................. 145,,,,,,,
第四章 注册登记 ............................................................................. 146,,,,,,,
第五章 组织建设 ............................................................................. 149,,,,,,,
第六章 活动管理 ............................................................................. 151,,,,,,,
第七章 经费管理 ............................................................................. 152,,,,,,,
第八章 违规责任 ............................................................................. 152,,,,,,,
第九章 附则 ..................................................................................... 153,,,,,,,
19.关于进一步加强学生晨跑管理的若干规定 .................................. 157,,,,,,,
20.中南民族大学学生证、校徽管理办法 ...........................................159,,,,,,,
21.中南民族大学学生请销假管理办法 ...............................................161,,,,,,,
22.中南民族大学学生校外住宿管理办法 ...........................................163,,,,,,,
第七章 学士学位 ............................................................................. 170,,,,,,,
第八章 附则 ..................................................................................... 171,,,,,,,
24.中南民族大学普通全日制本科学生成绩管理办法（修订） .... 172,,,,,,,
第一章 总则 ..................................................................................... 172,,,,,,,
第二章课程成绩评定标准 ............................................................... 172,,,,,,,
第三章 课程考核与成绩记载 ......................................................... 173,,,,,,,
第四章 学分绩点 ............................................................................. 174,,,,,,,
第五章 课程成绩录入及存档 ......................................................... 174,,,,,,,
第七章 方案外成绩处理 ................................................................. 176,,,,,,,
第八章 课程成绩打印、盖章、毕业生成绩归档 ......................... 177,,,,,,,
第九章 附则 ..................................................................................... 178,,,,,,,
25.中南民族大学普通全日制本科学生转专业管理办法（修订） 179,,,,,,,
26.中南民族大学普通全日制本科学生提前毕业管理办法（修订）181,,,,,,,
第一章 总则 ..................................................................................... 181,,,,,,,
第二章 条件及程序 ......................................................................... 181,,,,,,,
第三章 其他 ..................................................................................... 182,,,,,,,
第四章 附则 ..................................................................................... 182,,,,,,,
27.中南民族大学普通全日制本科交换生管理办法（修订） ........ 183,,,,,,,
第一章 总则 ..................................................................................... 183,,,,,,,
第二章 派出交换生的培养模式 ..................................................... 183,,,,,,,
第三章 派出交换生的选拔 ............................................................. 183,,,,,,,
第四章 非学历交换生的学业处理 ................................................. 185,,,,,,,
第五章 学历交换生的毕业审核 ..................................................... 186,,,,,,,
第六章 交换生的学籍管理和日常管理 ......................................... 186,,,,,,,
第七章 接收交换生的管理 ............................................................. 187,,,,,,,
第八章 管理部门及职责分工 ......................................................... 187,,,,,,,
第九章 附则 ..................................................................................... 188,,,,,,,
28.中南民族大学学生考试违规处理办法（修订） ......................... 190,,,,,,,
第一章 总则 ..................................................................................... 190,,,,,,,
第二章 考试违规行为的认定 ......................................................... 190,,,,,,,
第三章 考试违规行为的处理 ......................................................... 192,,,,,,,
第四章 考试违规行为的处理程序 ................................................. 193,,,,,,,
29.中南民族大学大学生创新创业科技活动奖励办法 ..................... 195,,,,,,,
第一章 奖励范围 ............................................................................. 195,,,,,,,
第二章 奖励标准 ............................................................................. 195,,,,,,,
第三章 组织管理 ............................................................................. 198,,,,,,,
第四章 附则 ..................................................................................... 199,,,,,,,
30.中南民族大学普通学士学位授予工作实施办法（修订） ........ 204,,,,,,,
31.中南民族大学大学生创新创业训练计划管理办法 ..................... 207,,,,,,,
第一章 总则 ..................................................................................... 207,,,,,,,
第二章 组织管理 ............................................................................. 208,,,,,,,
第三章 项目申报 ............................................................................. 208,,,,,,,
第四章 过程管理 ............................................................................. 210,,,,,,,
第五章 项目结题 ............................................................................. 212,,,,,,,
第六章 激励机制 ............................................................................. 213,,,,,,,
第七章 项目经费 ............................................................................. 214,,,,,,,
第八章 附则 ..................................................................................... 214,,,,,,,
32.中南民族大学大学生创新创业和社会实践学分管理办法 .......... 219,,,,,,,
第一章 总则 ..................................................................................... 219,,,,,,,
第二章 创新创业与社会实践学分设置范围 ................................. 219,,,,,,,
第三章 创新创业与社会实践学分审核认定方式与程序 ............. 221,,,,,,,
第四章 创新创业与社会实践学分档案管理 ................................. 223,,,,,,,
第五章 附则 ..................................................................................... 223,,,,,,,
33.中南民族大学学生休学创业管理暂行办法 .................................. 235,,,,,,,
34.中南民族大学推荐优秀应届本科毕业生免试攻读硕士学位研究,,,,,,,
生遴选办法(修订) ................................................................................... 237,,,,,,,
35.中南民族大学第二学士学位教育学生管理暂行办法 ................. 243,,,,,,,
第一章 总则 ..................................................................................... 243,,,,,,,
第二章 教学要求 ............................................................................. 243,,,,,,,
第三章 学生管理 ............................................................................. 244,,,,,,,
第四章 证书发放 ............................................................................. 244,,,,,,,
第五章 就业派遣 ............................................................................. 244,,,,,,,
第六章 附则 ..................................................................................... 245,,,,,,,
38.中南民族大学校内无息借款管理办法(试行) ............................... 255,,,,,,,
第一章 总则 ..................................................................................... 255,,,,,,,
第二章 借款条件和标准 ................................................................. 255,,,,,,,
第三章 申请及审批流程 ................................................................. 256,,,,,,,
第四章 借款的期限与偿还 ............................................................. 256,,,,,,,
第五章 借款的减免 ......................................................................... 257,,,,,,,
第六章 监督和管理 ......................................................................... 258,,,,,,,
第七章 附则 ..................................................................................... 258,,,,,,,
39.中南民族大学临时困难补助管理办法(试行) ............................... 259,,,,,,,
第一章 总则 ..................................................................................... 259,,,,,,,
第二章 申请条件 ............................................................................. 259,,,,,,,
第三章 补助金额 ............................................................................. 260,,,,,,,
第四章 申请及审批流程 ................................................................. 260,,,,,,,
第五章 监督与管理 ......................................................................... 261,,,,,,,
第六章 附则 ..................................................................................... 261,,,,,,,
40.中南民族大学勤工助学管理办法 ................................................... 262,,,,,,,
第一章 总则 ..................................................................................... 262,,,,,,,
第二章 组织领导 ............................................................................. 263,,,,,,,
第三章 学校内勤工助学岗位的设置 ............................................. 264,,,,,,,
第四章 学校内勤工助学岗位的管理 ............................................. 264,,,,,,,
第五章 勤工助学岗位申请资格及程序 ......................................... 265,,,,,,,
第六章 勤工助学质量考核及酬金发放 ......................................... 266,,,,,,,
第七章 校外勤工助学活动的管理 ................................................. 267,,,,,,,
第八章 法律责任 ............................................................................. 268,,,,,,,
第九章 教育管理与总结表彰 ......................................................... 268,,,,,,,
第十章 附则 ..................................................................................... 269,,,,,,,
41.中南民族大学国家助学金管理实施办法 ...................................... 270,,,,,,,
第一章 总则 ..................................................................................... 270,,,,,,,
第二章 组织领导 ............................................................................. 270,,,,,,,
第三章 评选原则及名额分配 ......................................................... 270,,,,,,,
第四章 申请条件与评审程序 ......................................................... 271,,,,,,,
第五章 助学金的发放、管理与监督 ............................................. 272,,,,,,,
第六章 助学金的中止 ..................................................................... 273,,,,,,,
第七章 受助学生的教育管理 ......................................................... 273,,,,,,,
第八章 附则 ..................................................................................... 273,,,,,,,
42.中南民族大学学生奖学金评选办法 ...............................................274,,,,,,,
第一章 总则 ..................................................................................... 274,,,,,,,
第二章 奖学金评审机构 ................................................................. 274,,,,,,,
第三章 奖学金种类及名额分配原则 ............................................. 275,,,,,,,
第四章 奖学金评选基本条件 ......................................................... 275,,,,,,,
第五章 奖学金评选条件、评选比例及奖励标准 ......................... 276,,,,,,,
第六章 奖学金评选程序 ................................................................. 281,,,,,,,
第七章 奖学金发放、管理与监督 ................................................. 282,,,,,,,
第八章 附则 ..................................................................................... 283,,,,,,,
43.中南民族大学社会奖助学金管理办法 ...........................................284,,,,,,,
第一章 总则 ..................................................................................... 284,,,,,,,
第二章 奖助标准与申请条件 ......................................................... 284,,,,,,,
第三章 社会奖助学金评选程序 ..................................................... 286,,,,,,,
第四章 社会奖助学金发放、管理与监督 ..................................... 287,,,,,,,
第五章 受奖助学生的管理 ............................................................. 287,,,,,,,
第六章 附则 ..................................................................................... 287,,,,,,,
44.中南民族大学学生先进集体、先进个人评选办法 ..................... 289,,,,,,,
第一章 总则 ..................................................................................... 289,,,,,,,
第二章 荣誉称号评审机构 ............................................................. 289,,,,,,,
第三章 荣誉称号种类、评选比例及奖励标准 ............................. 290,,,,,,,
第四章 荣誉称号评选基本条件 ..................................................... 291,,,,,,,
第五章 荣誉称号评选具体条件 ..................................................... 292,,,,,,,
第六章 荣誉称号评选程序 ............................................................. 295,,,,,,,
第七章 奖学金发放、管理与监督 ................................................. 296,,,,,,,
